review_id,item_id,category,brand,user_id,size_ordered,user_height_cm,user_weight_kg,user_body_type,fit_feedback,review_text,rating,returned,return_reason
REV-000001,DRS-102,Dress,Dressberry,USR-2824,M,165.9,62.4,Athletic,Fit,"Size M fits like a glove! True to size. Chest and shoulder seams align nicely. Great length, falls just right.",5,0,None
REV-000002,ETH-409,Ethnic,Taavi,USR-4257,XL,166.9,80.8,Athletic,Fit,"Size XL fits like a glove! True to size. Length is quite long, might need tailoring. Chest and shoulder seams align nicely.",5,0,None
REV-000003,ETH-412,Ethnic,Libas,USR-4527,S,160.9,57.8,Pear,Small,"Ordered size S but this definitely runs small. Fabric has zero stretch and is quite stiff. Length is quite long, might need tailoring.",2,0,None
REV-000004,ETH-409,Ethnic,Taavi,USR-4150,L,173.2,78.4,Hourglass,Fit,"Size L fits like a glove! True to size. Fabric has zero stretch and is quite stiff. Length is quite long, might need tailoring.",5,0,None
REV-000005,ETH-406,Ethnic,Anouk,USR-4432,XL,159.3,64.1,Pear,Fit,"Absolutely love the fit of size XL. Watch out after washing, might shrink slightly. The waistband dug right into my sides.",4,0,None
REV-000006,ETH-413,Ethnic,Taavi,USR-6313,S,159.3,54.4,Regular,Small,"Beautiful piece, but sizing is off and it runs tight. Very constricting waistline. Rigid material with no give whatsoever.",1,1,Fit
REV-000007,JNS-204,Jeans,HRX,USR-3287,XS,164.1,44.5,Athletic,Fit,Perfect fit right out of the package. Love the comfortable stretch in this fabric. Fits very comfortably around the waist.,5,0,None
REV-000008,DRS-108,Dress,Mango,USR-1771,XS,150.8,47.9,Pear,Small,"Felt very suffocating in size XS, recommend sizing up. Waist was noticeably smaller than standard sizing. Too long for my height, dragged on the floor without heels.",2,1,Fit
REV-000009,DRS-108,Dress,Mango,USR-6573,S,155.6,59.1,Pear,Small,"I usually wear S, but this was way too snug. Extremely tight around waist with almost no give. Length is quite long, might need tailoring.",5,1,Fit
REV-000010,ETH-412,Ethnic,Libas,USR-7126,S,156.3,43.6,Hourglass,Large,"Definitely oversized cut, consider sizing down. Waist is roomy and relaxed. Fabric has zero stretch and is quite stiff.",2,0,None
REV-000011,DRS-106,Dress,Dressberry,USR-2290,M,172.5,66.5,Athletic,Large,"Runs on the larger side, felt baggy and loose. Plenty of room around the waist. Chest and shoulder seams align nicely.",3,1,Fit
REV-000012,ETH-406,Ethnic,Anouk,USR-7537,XS,163.0,47.2,Athletic,Fit,Perfect fit right out of the package. Extremely tight around waist with almost no give. Fabric has zero stretch and is quite stiff.,4,0,None
REV-000013,DRS-105,Dress,Mango,USR-4750,L,158.8,59.6,Regular,Small,"I usually wear L, but this was way too snug. Buttons pulled open at the chest. Very constricting waistline.",1,1,Fit
REV-000014,DRS-107,Dress,Mast & Harbour,USR-2545,M,154.7,58.9,Petite,Fit,Size M fits like a glove! True to size. Fits very comfortably around the waist. Fabric has zero stretch and is quite stiff.,3,0,None
REV-000015,TOP-305,Top,Mango,USR-9786,S,158.4,55.4,Hourglass,Fit,Size S fits like a glove! True to size. Fits very comfortably around the waist. Way too tight across the bust and chest.,3,0,None
REV-000016,TOP-308,Top,Dressberry,USR-7658,XL,158.4,75.9,Petite,Large,"Definitely oversized cut, consider sizing down. Watch out after washing, might shrink slightly. Plenty of room around the waist.",2,1,Fit
REV-000017,JNS-207,Jeans,Mango,USR-4111,XS,162.4,50.6,Hourglass,Fit,"Matches the size chart accurately, so comfortable. The waistband dug right into my sides. A little too short on me.",3,1,Quality
REV-000018,ETH-402,Ethnic,Anouk,USR-2122,S,168.1,52.4,Hourglass,Fit,"Size S fits like a glove! True to size. Watch out after washing, might shrink slightly. Runs small at bust for anyone with curves.",5,0,None
REV-000019,ETH-406,Ethnic,Anouk,USR-4346,XS,163.9,44.3,Athletic,Fit,"Perfect fit right out of the package. Extremely tight around waist with almost no give. Watch out after washing, might shrink slightly.",4,0,None
REV-000020,JNS-202,Jeans,Mango,USR-9808,S,153.5,56.4,Petite,Fit,"Matches the size chart accurately, so comfortable. A bit longer than pictured on the model. Rigid material with no give whatsoever.",4,1,Quality
REV-000021,DRS-109,Dress,Roadster,USR-2697,L,167.5,66.9,Pear,Large,Had to return size L because it was much too big. Loose at the bust and chest armholes. Love the comfortable stretch in this fabric.,1,1,Fit
